date_time,Open,High,Low,Close,Volume,Turnover,NumTrades
2021-01-04,13.8,14.27,13.66,13.91,229363.31,32.0355019,31614.0
2021-01-05,14.1,14.26,13.6,13.79,149611.0,20.6985528,24928.0
2021-01-06,13.73,13.85,12.9,13.03,158739.38,20.9339998,24742.0
2021-01-07,13.11,13.11,11.81,11.97,205230.2,25.1890926,31154.0
2021-01-08,11.7,11.95,11.18,11.35,174760.64,20.1334764,31481.0
2021-01-11,11.42,11.54,10.82,10.82,130336.74,14.4624541,22499.0
2021-01-12,10.87,10.98,10.58,10.71,93742.04,10.0894008,14641.0
2021-01-13,10.69,10.85,10.13,10.22,113471.91,11.7807973,14435.0
2021-01-14,10.24,10.53,10.06,10.28,78723.31,8.1049252,10817.0
2021-01-15,10.28,10.77,10.22,10.56,75177.92,7.9271845,8212.0
2021-01-18,10.44,10.97,10.44,10.73,70325.3,7.5790768,7012.0
2021-01-19,10.72,10.76,10.52,10.58,54296.22,5.7696698,5398.0
2021-01-20,10.58,10.85,10.52,10.84,67202.8,7.2077917,6084.0
2021-01-21,10.79,13.01,10.65,13.01,331603.41,40.7788573,19696.0
2021-01-22,13.02,14.29,12.6,12.83,455398.9,60.9755368,36887.0
2021-01-25,12.48,13.34,12.02,12.13,283614.17,35.6355496,32287.0
2021-01-26,11.91,12.39,11.56,11.56,193732.69,23.0602263,29431.0
2021-01-27,11.61,12.1,11.51,11.56,126815.0,14.8185207,20719.0
2021-01-28,11.3,11.74,10.94,11.02,163817.8,18.3567885,22517.0
2021-01-29,10.96,11.05,10.38,10.58,132823.2,14.1400725,21200.0
2021-02-01,9.9,10.45,9.81,10.29,121853.6,12.4105181,18271.0
2021-02-02,10.4,10.91,10.07,10.78,135346.37,14.220081799999999,21765.0
2021-02-03,10.6,11.13,10.43,10.5,112352.24,12.0734718,17666.0
2021-02-04,10.35,10.42,10.0,10.07,97599.0,9.9218959,14934.0
2021-02-05,10.07,10.29,9.65,9.66,71090.6,7.0533179,12067.0
2021-02-08,9.7,9.7,9.33,9.33,64210.42,6.076216,11043.0
2021-02-09,9.38,9.68,9.21,9.52,60991.6,5.7962432,10338.0
2021-02-10,9.53,9.9,9.5,9.56,54468.2,5.2534293,9275.0
2021-02-18,9.83,10.26,9.83,10.09,64769.42,6.524371,9516.0
2021-02-19,10.15,10.36,10.01,10.35,49484.2,5.0614026,6310.0
